"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"1935","OKUMA Japan Make Radial Drilling Machine","OKUMA","DRA-J 1600","Drill Radial",NULL,"Arm Length : 2000mm
Drilling Capacity : 80mm
Vertical Arm Movement : 800mm
Max Gap Between Base to Spindle : 1500mm
Machine Weight Appx. : 8 ton","Rabale, Navi Mumbai","Japan",NULL,,"https://youtu.be/GeO2pmIxdOM"
"2010","AMADA Make Hydraulic Press Brake","AMADA Promecam","RG35","Press Brake",NULL,"Length : 1200mm
Capacity : 35 ton","Rabale, Navi Mumbai","Japan",NULL,,
"1949","Nishimori Make Heavy Duty Lathe Machine","Nishimori","6000x825","Lathe",NULL,"Centre Height : 825mm
Swing on Bed : 1650mm
Swing over Cross Slide : 1280mm
Admit Between Centre : 6000mm
Bed Width : 1150mm
Spindle Bore : 110mm
Chuck Dia : 1300mm
Bed Length : 8450mm
Spindle Bore : 110mm
Motor Power : 50HP


","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/zm0yZKWjVQk"
"1992","KMD Make Double Column Hydraulic Surface Grinder","KMD","GS1020","Grinder Surface",NULL,"Table Size : 2000 x1000mm
Magnet Size : 2000 x1000mm
X Travel : 2100mm
Y Travel : 1400mm
Z (Vertical) Travel : 550mm
with Bed Linear Guideways 
Ball Screw","Rabale, Navi Mumbai","Korea",NULL,"2003",
"1961","Pfuater Make Gear Shobber Machine","Pfauter","SH 210","Gear Shobber",NULL,,"Rabale, Navi Mumbai","Germany",NULL,"1982",
"1843","Mikron Make Bevel Gear Hobbing Machine","MIKRON","120","Gear Hobbing",NULL,"Max. Dia : 40mm
Number of Teeths : 6 to 260
Max. Pitch in Brass : DP26 - Mod.1
Max. Pitch in Steel : DP32 - Mod.0.75","Rabale, Navi Mumbai","Switzerland",NULL,,
"2006","KONDO Make Universal Cylindrical Grinder","KONDO","750HT","Grinder Cylindrical",NULL,"Centre Height : 125mm
Swing : 250mm
Admit Between   Centre : 750mm
with Internal Grinding Attachment
Degree Table. 
Degree Work Head
Degree Head Stock
","Rabale, Navi Mumbai","Japan",NULL,,"https://youtu.be/HUT1HHTlau4"
"2000","OKAMOTO Make Surface Grinder","OKAMOTO","PSG-640X","Grinder Surface",NULL,"Electro Magnet Size : 600mm x 400mm
X Travel : 600mm
Y Travel : 500mm
Z Travel : 400mm
Grinding Wheel Dimension : 355mm x 38mm  x 127mm
Main Motor : 7.5Kw
Machine Weight : 4500kg","Rabale, Navi Mumbai","Japan",NULL,,
"1768","Glint Make Bed Milling","Glint","NSG 3A","Milling Bed",NULL,"Table Size : 1600mm x 380mm
X Travel : 1200mm
Y Travel : 400mm
Z Travel : 565mm
Spindle Taper : ISO 50
Spindle Motor : 10HP 
Dimension : 2660 x 1865 x 2095mm
Machine Weight : 3100kgs ","Rabale, Navi Mumbai","Taiwan",NULL,,"https://youtube.com/shorts/h6_7DHPYE6M"
"1809","BARBER COLMAN Horizontal Hobbing Machine","BARBER COLMAN","16","Hobbing",NULL,"8 Module
250mm Dia
600mm Length
52mm Spindle Bore","Rabale, Navi Mumbai","USA",NULL,,
"1960","Gleason Make Gear Tester 17A","Gleason","17A","Gear Tester",NULL,"Maximum offset of gear spindle above or below center of 
 pinion spindle :  .5” (88.9mm)
 Maximum distance from center of gear spindle to nose of
 pinion spindle : 12” (304.8mm)
 Minimum distance from center of gear spindle to nose of
 pinion spindle : 6” (152.4mm)
 Maximum distance from center of pinion spindle to nose of
 gear spindle : 7.75” (196.85mm)
 Minimum distance from center of pinion spindle to nose of
 gear spindle : 4.13” (104.8mm)
 Maximum diameter of gear with “zero” offset of gear spindle.....20” (508mm)
 Machine dimensions (approx.) : 60” x 73” x 60”
 Machine net weight : 5,300 Lbs.","Rabale, Navi Mumbai","USA",NULL,,
"2004","NICCO Make  Manual Surface Grinder ","NICCO","NSG-3","Grinder Surface",NULL,"Table Size : 450mm x 150mm
Electro Magnet Size : 280mm x 100mm","Rabale, Navi Mumbai","Japan",NULL,,
"2005","Okamoto Surface Grinder","OKAMOTO","PFG-500DXPL","Grinder Surface",NULL,"Table Size : 600 x 140mm
Electro Degree Magnet Size : 380mm x 120mm","Rabale, Navi Mumbai","Japan",NULL,,
"1964","NOVA Make Internal Grinder with Face Grinding","NOVA","50/400","Grinder Internal",NULL,"Swing over Table - 825 mm 
Max. Swing over  Wheel-Head Slide - 700 mm 
Max. Grinding Length of Job - 500 mm 
Max. Ground-able Internal Diameter - 700 mm 
Work-Head Speeds - 70 rpm to 720 rpm 
Work-Head Rotating Angle - 0° to 30° 
Internal Grinding Spindle Diameter - 115 mm 
Face Grinding Cup Wheel Diameter - 200 mm 

- Equipped with Face Grinding Attachment. 
- Equipped with Hydraulic Wheel Dresser & angular wheel dresser. 
","Rabale, Navi Mumbai","Italy",NULL,,
"2009","Makino Make Turret Milling - M1TR","Makino","KSAP","Milling Turret",NULL,"Table Size : 1100mm x 250mm
Spindle Taper ISO 40","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/wjv_3xeFCkI"
"1851","KALTENBACK Hydraulic Circular Saw Machine","KALTENBACK","HDM 1000","Circular Saw",NULL,"Blade Dia : 1000mm
Capacity : 650mm","Rabale, Navi Mumbai","Germany",NULL,,"https://youtu.be/Uw9VVEOQwes"
"1819","GIUSTINA Make Twin Grip CNC Centreless Grinder","GIUSTINA","R114-500","Grinder Centreless",NULL,"Grinding Diameter - 2..300mm
Belt wheel - 508mm
Wheel diameter - 610mm
Wheel Width : 500mm
Weight - 12000kg
Control : Siemens Sinumerik","Rabale, Navi Mumbai","Italy",NULL,"1988",
"1822","Delapena Make Horizontal Honing Machine","Delapena","3000","Honing",NULL,"Clamping  : Max 500mm Dia
Stroke Length : 3000mm","Rabale, Navi Mumbai","Germany",NULL,,
"1861","DECKEL Make Pantograph Machine","DECKEL","KF 3S","Pantograph",NULL,"Working Area : 1400 x 555 mm
Copy Table : 600 x 500 mm
Variable Ratio : 1:1 - 1:4
Spindle Motor : 2 kW
Spindle Speed : 80 - 20.000 rpm
Dimensions : 2.200 x 1.700 x 2.200 mm
Weight : 3.000 kg","Rabale, Navi Mumbai","Germany",NULL,,
"1862","DELAPENA Make Vertical Honing Machine","DELAPENA","VHM 2","Honing",NULL,"Stroke Length : 800mm
Table Size : 1100 x 530mm
400mm x 4 Jaw Dog Chuck","Rabale, Navi Mumbai","UK",NULL,,"https://youtu.be/G3ZGX2b7_0Y"
"1923","HOMMA Japan Make Double Column CNC VTL ","HOMMA","STAC - 25M","VTL",NULL,"Fanuc 21iTB Control. 
With ‘C’ Axis and
 Angular Milling Head
Chuck : 2500mm, 
Swing : 3000mm/5000mm, 
Chuck Bed Travel for Milling Operation
Height : 3000mm, 
Ram Size : 300mm
Chip Conveyor
Twin ATC ( One on Each Side)
Original CNC Machine
New Fanuc 21iTB Control
Replaced by Japanese Company
in year 2004","Rabale, Navi Mumbai","Japan",NULL,"1986/2004",
"1864","WMW MODUL STRAIGHT BEVEL GEAR GENERATOR","WMW","ZSTTK 280x8","Bevel Gear Generator ",NULL,"Maximum Working Dia : 280mm
Maximum Module : 8
Tool Width : 70mm
Stroke Per Minute : 60-300
Main Motor : 3.5 Kw
Machine Weight : 3500 Kgs.
","Rabale, Navi Mumbai","Germany",NULL,,
