"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"856","Minster Make 70Ton Power Press","Minster","70","Power Press","3","Capacity:70Tons
W/Air Clutch
Bed Size : 813mm x 534mm
64mm Bolster Plate
Straightener/Feeder
Minster Clutch Control","Navi Mumbai","USA","n"," ",
"860","Pfauter Make Model P630WS Gear Skiving Hobbing Machine","Pfauter","P630WS","Gear Skiving","6","Workpiece Outer Dia : 630mm
Workpiece Inner : -
Dia : Largest : 500mm
Smallest : 200mm
Max. Width : 240mm
Module : 7
Table Dia : 550mm
Table Hole Dia : 125mm
Max. Clampable Skiving Wheel Dia : 150mm
Axle Distance b/w Skiving Wheel and workpiece :
Max. Distance : 280mm
Min. Distance : 40mm
Machine Weight : 7800kgs
Space Requirement : L - 6000mm,  W - 3000mm,  H - 3500mm
The largest skiving slide path depends on the dia of the skiving wheel and internal toothing.
We make every effort to provide accurate information however not binding  variation, change, typographical errors, specifications.","Navi Mumbai","Germany","n"," 1978",
"885","Lumsden Make Rotary Surface Grinder","Lumsden"," 950","Grinder Surface",NULL,"Table Diameter : 915mm
Segmental Wheel Dia. : 560mm
Max. Height Capacity : 280mm
Spindle Speed : 700rpm
Table Speed : 8 & 24rpm
Auto Feed : 0.004-0.04 ins/min
0.1-1.0 mm/min
Spindle Motor : 40HP/30Kw
Floor Space : 3353 x 2184mm
Approx. Net Weight: 7.5T
Approx. Gross Weight : 8.25T","Navi Mumbai","U.K.","n"," ","https://youtu.be/VmaNupOkmmI"
"917","Sunderland Make Model 5A Gear Shaping Machine","Sunderland","5A","Gear Shaper","3","With Rack Cutting Attachment","Navi Mumbai","Germany","n"," ",NULL
"889","Infrateria Make MFIV 16 Tapping Machine","Infrateria","MFIV 16","Tapping Machine",NULL,"Tapping Capacity: 16mm","Navi Mumbai","Romania","n"," ",NULL
"1783","Minakuchi Make Cam Grinder Machine","Minakuchi","HG-C-200N","Grinder Cam",NULL,"Admit Between Centre : 300mm
Centre Height : 120mm
Grinding Wheel Dia : 5500mm
Grinding Wheel Width : 75mm","Rabale, Navi Mumbai","Japan",NULL,"1987",
"1980","SEIBU KOKI, Japan Make Facing Lathe","SEIBU KOKI","1000","Lathe Facing",NULL,"Centre Height : 450mm
Chuck size : 1000mm
Tool Post Travel: 1000mm","Rabale, Navi Mumbai","Japan",NULL,,
"1028","N Schlumberger Make Radial Drilling Machine","N Schlumberger "," ","Drill Radial",NULL,"Table Size: 650mm X 1000mm<br> Capacity: 40mm","Navi Mumbai","Germany","n"," ","https://youtu.be/cf3bYpOlW6Y"
"1840","MIYAGAWA (JAPAN) Gantry Type  High Speed CNC Drilling/Milling Machine","MIYAGAWA","M1G 6000-31000 Type (ATC)","CNC Drilling ",NULL,"Control : FANUC 15M
Machine Specifications :
Number of Spindle : 1no
Spindle Hole Taper : BT50
Spindle Diameter : 90mm
Travel : 
        X Axis : 32750mm
	Y Axis : 6000mm + 700mm (ATC)
	Z Axis : 450mm
Floor to Spindle Gap : 800mm
        Z Vertical Gap : 850mm
        Between Column : 6800mm
Rapid Speed : X Axis : 18000mm/min
Y Axis : 18000mm/min
Z Axis : 10000mm/min
Positioning Speed : Z Axis : 1 – 4,000mm/min
AC Spindle Motor : 15.00 kw
X Axis Servo Motor : 2.8 Kw,  2 Synchronous operation
Y Axis Servo Motor : 1.8 Kw
Z Axis Servo Motor : 4.0 Kw with Brake
For Cutting Oil : 2.2 Kw
For Lubrication : 0.075 Kw
Number of Control Axis : 4 Axis ( x1, x2, y, z axis)
Number of simultaneously controlled Axis : 3 Axis ( x, y Axis)
Floor Plate - 2nos. ( 6300x2500x300mm each)","Rabale, Navi Mumbai","Japan",NULL,"1992","https://youtu.be/0F8eNe0-Fe0"
"1972","Russian Make Double Column VTL","Russian","1525","VTL",NULL,"Chuck Size : 2250mm
Swing : 2500mm
Height : 1600mm
with Vertical Two Ram
with Degree Adjustment","Rabale","Russia",NULL,"1971",
"1943","Wahli Make Thread Milling","Wahli","96","Thread Milling",NULL,"Max. diameter 40 mm
Max. module 1
Workpiece length max. 80 mm
Max. gear wheel width 50 mm
Number of teeth cut pinions: 2-50
Pitch 6- 200
Milling stroke 10 mm
Gear hob: max. diameter 32 mm
Milling cutter speeds: 8 steps, 660-5300 rpm
Feeds: stepless upto 60.0 mm/r
Total power required 1.2 HP","Rabale, Navi Mumbai","Switzerland",NULL,,
"1978","SHIGIYA Make Cylindrical Grinder","SHIGIYA","G - 85/300","Grinder Cylindrical",NULL,"Capacity : 
Length : 3000mm
Swing : 850mm
Grinding Wheel Dia  : 1000mm
Grinding Wheel Width : 100mm ","Rabale, Navi Mumbai","Japan",NULL,"1988",
"1071","Pfauter Make Model RA-100 Gear Hobbing Machine","Pfauter","RA-100","Gear Hobbing","4","Max Work Dia.: 100 mm<br>Max Module (pitch) 4 mm 6 DP<br>Max Axial Slide Travel 120 mm<br>Min/Max Number of Teeth<br>-Standard 2 Start Index Drive 5/36<br>-Optional 2 Start Index Drive 4/24<br>-Optional 4 Start Index Drive 2/12<br>Max Hob Head Swivel +/-40 degrees
Max Table Speed 50 - 150/min<br>Hob Shift Travel 120 mm<br>Hob Speeds 180 - 400/min<br>Axial Feed 12 Steps Via Change Gears .5 - 6.96 mm/rev<br>Center Distance Btwn Work & Hobb 25-110 mm<br>Work Table Dia. 150 mm<br>Table Bore Dia 63 mm<br>Hobb Arbor Dia. 27 mm<br>Max Hobb Size 100 mm x 140 mm length","Navi Mumbai","Germany","n"," ",NULL
"1078","Klingelnberg Make Hob Sharpning Machine","Klingelnberg"," AGW 30A","Hobb Sharpner",NULL,"Between Centre: 600mm
Centre Height:150mm
Longitudinal Travel – 500 mm
Grinding Diameter – 300 mm
 Grinding Length – 400 mm
 Helical Pitch – 10 – 70″","Navi Mumbai","Germany","n"," ",
"1858","MSO Make Hydraulic Cylindrical Plunge Grinder","MSO","FH 200","Grinder Cylindrical",NULL,"Admit Between Centre : 800mm
Centre Height : 130mm
Wheel Size : 500mm Dia, 
Wheel Width : 100mm","Rabale, Navi Mumbai","Germany",NULL,,
"1873","PIESOK Make Hydraulic Shearing Machine","PIESOK (TOS)","3150x10A","Shearing",NULL,"Capacity : 3000mm x 10mm","Rabale, Navi Mumbai","Czechoslovakia",NULL,,
"1133","Jones Shipman Hydraulic Universal Cylindrical Grinder","Jones Shipman","1314","Grinder Cylindrical Universal",NULL,"Capacity 8`` X 24`` (203mm X 610mm)
Swing 8`` (203mm)
Between Centres 24`` (610mm) 
Table Swivels 7-0-7 Degrees
Table Traverse Speed 3``-144`` (76-3658mm) 
Work Head Input 380/420/3/50 Ac 0.33 Hp
Work Head Speeds 30-415 Rpm
Work Head Swivels 10-0-90 Degrees
Wheel Head Input 380/420/3/50 Ac 1 Hp
Nominal Stone Size 8`` (203mm) Diameter X 3/4`` (19mm) Face
Internal Grinding Attachment Yes
Wheel Head Infeed Rate 0.0002``-0.0012`` (0.01-0.03mm) 
Fitted With Wheel Dresser
Length 7' (2.13m) 
Width 5' (1.52m) 
Height 5'10`` (1.78m) 
Nett Weight Approx. 2 Tons (2032 Kgs)","Navi Mumbai","UK","n",,"https://youtu.be/8sBA_WxNd2k"
"1173","Asquith Make Floor Boring Machine","Asquith"," 150","Boring Floor",NULL,"Spindle Dia.: 150mm
Spindle Movement: 1300mm
Cross Travel : 3500mm
Vertical Travel : 2300mm
Rotary Table Size: 2000mm X 1800mm
Floor Plate Size: 3000mm X 1500mm - 2 Pcs","Navi Mumbai","UK","n"," ",
"1216","Hi-Ton Make Thread Rolling","Hi-Ton"," ","Thread Rolling","4"," ","Navi Mumbai","UK","n"," ",NULL
"1697","WMW Make Floor Boring Machine","WMW","BFP 125","Boring Floor",NULL,"Spindle Dia : 125mm
Cross TRavel : 3000mm
Vertical Travel : 1600mm
With Facing Chuck, Tail Stock
Rotary Table : 1500 x 1500mm
Floor Plate 1no.","Navi Mumbai","Germany","n"," "," "
"1744","Hamano Make Horizontal Honing Machine ","Hamano","80HM-S","Honing",NULL,"Working Range :
Length : 8000mm (Work Dia Over 80mm)
Outside Dia : 400mm
Inside Dia : 40-160mm
Main Spindle Motor : 5.5Kw
Main Hydraulic Unit : 11Kw
","Rabale, Navi Mumbai","Japan",NULL,"30-04-1984",
